name,ring,quadrant,isNew,description
1C,adopt,platforms & infrastructure,FALSE,
Active Directory,adopt,platforms & infrastructure,FALSE,Used to authenticate users and manage roles and permissions
ActiveMQ,adopt,data management,FALSE,Message broker(we are considering other technologies for FC2021 project)
Aerospike CE,adopt,data management,FALSE,"Used in different projects as a DB: inbox, chasm, recommendations, prism"
Airflow 2.x,adopt,data management,FALSE,
Allure,adopt,framework & tools,FALSE,Some teams use it to visualize functional test reports
Angular,hold,framework & tools,FALSE,"We use Vue.js instead, несколько админок в RND; the main framework for WMS web-interface"
Ansible,adopt,platforms & infrastructure,FALSE,Configuration management system we use to deploy and configure infrustructure
Apache camel,adopt,framework & tools,FALSE,Used for rule-based message routing and mediation
Artifactory,adopt,platforms & infrastructure,FALSE,"Used to store all out docker images, deployments, etc"
Asterisk + kamailio,adopt,platforms & infrastructure,FALSE,The main voice transfer services
AWS,assess,platforms & infrastructure,TRUE,Photo reviews service is hosted on
Azure,adopt,platforms & infrastructure,FALSE,
Azure DevOps,adopt,platforms & infrastructure,FALSE,
Bamboo,adopt,platforms & infrastructure,FALSE,Our CI tool
Bitbucket server,adopt,platforms & infrastructure,FALSE,Our version control service
Blackfire,hold,framework & tools,FALSE,
Bootstrap,adopt,framework & tools,FALSE,Used for admin panels
Ceph,adopt,platforms & infrastructure,FALSE,
Chef,hold,platforms & infrastructure,FALSE,
Cisco,adopt,platforms & infrastructure,FALSE,
Codeception,adopt,framework & tools,FALSE,
CodeceptJS,assess,framework & tools,TRUE,Инструмент автоматизации UI тестирования Web
Consul,hold,platforms & infrastructure,FALSE,We use Kubernetes instead
Cucumber,adopt,framework & tools,FALSE,"We consider this technology to replace, this process is in progress; testing engine based on high-level step-by-step scenarios"
Danger,assess,framework & tools,TRUE,"Инструмент для автоматического ревью пул реквестов. Пока внедрили в iOS, можно масшатировать на остальные платофрмы. Аналог SonarQube"
Django,hold,framework & tools,FALSE,Still exists in some admin sites
Docker,adopt,platforms & infrastructure,FALSE,All services are packaged as a docker images
ElasticSearch,adopt,data management,FALSE,Used for logs and as a product search engine
etcd,adopt,platforms & infrastructure,FALSE,
FastLane,adopt,framework & tools,TRUE,
Flask,adopt,framework & tools,FALSE,Основной инструмент для rpc серверов на питоне в rnd
Ginkgo,adopt,framework & tools,TRUE,Инструмент автоматизации интеграционного тестирования
Golang,adopt,languages,FALSE,Our mainstream language in digital
Gonkey,adopt,framework & tools,FALSE,Инструмент автоматизации интеграционного тестирования
Google Cloud Platform,hold,platforms & infrastructure,FALSE,We use AWS and Azure
Grafana,adopt,platforms & infrastructure,FALSE,Out metrics dashboards here
GraphQL,adopt,framework & tools,FALSE,Used in catalog service
Greenplum,assess,data management,TRUE,
Hadoop,adopt,data management,FALSE,
HAProxy,adopt,platforms & infrastructure,FALSE,Used as a proxy server in front of DBs; currently the main WMS proxying and balancing tool - to be replaced in FC2021
HBase,assess,data management,FALSE,
Hive,adopt,data management,FALSE,"Hive это решение DE, мы через него лезем в Hadoop"
Hyper-V,adopt,platforms & infrastructure,TRUE,
Icinga,adopt,platforms & infrastructure,FALSE,Our alerts come from here
Istio,hold,platforms & infrastructure,TRUE,
Java 1.8,adopt,languages,FALSE,A JVM language used in core WMS backend modules - to be replaced by Kotlin and Java 11 during FC2021
Java 11 ,assess,languages,FALSE,WMS will migrate to this during FC2021
Java 17,assess,languages,TRUE,WMS new services
Jest,adopt,framework & tools,FALSE,Online shop frontend unit tests
JMeter,adopt,framework & tools,FALSE,Tool we use for load test
Jupyterhub,adopt,framework & tools,FALSE,
Kafka,adopt,data management,FALSE,Used as a event bus
Kibana,adopt,framework & tools,FALSE,Elastic interface
Kotlin,adopt,languages,FALSE,Mainstream language for android development
Kotlin backend,trial,languages,FALSE,WMS uses it in some backend modules
Kubernetes ,adopt,platforms & infrastructure,FALSE,Most of out services hosted in k8s
Lua,hold,languages,FALSE,"This language has sertain and good area of usage, but we don't have this areas in Lamoda landscape"
Mail.ru cloud,adopt,platforms & infrastructure,TRUE,"We will use it for project: Hybrid DRP, expend for BF resources"
Microsoft Dynamics,adopt,platforms & infrastructure,FALSE,
MongoDB,adopt,data management,FALSE,Used as an partially-structured data storage in one of MWS applications
MySQL,hold,data management,FALSE,We use PostreSQL instead
needle,adopt,framework & tools,TRUE,Cutting-edge фреймворк для DI в iOS
NGINX Plus,adopt,platforms & infrastructure,FALSE,Used as a web-server for web interface in WMS
Node.js,hold,framework & tools,FALSE,We have few services still using node.js. Like landing service
Nomad,hold,platforms & infrastructure,FALSE,"We use Kubernetes instead (Саша Афенов предлагает убрать совсем с радара, потому что этой технологии уже нет физически 4 года)"
NSQ,assess,data management,FALSE,
OpenAPI (Swagger),adopt,framework & tools,FALSE,We describe out APIs on OpenAPI and then... we generate code using it
